custid,orderid,date,price,qty
100517,738357,2025-10-05,40.68,2
100518,715050,2024-09-12,59.94,1
100519,722457,2025-02-25,74.28,2
100519,729825,2025-06-22,47.94,1
100520,738913,2025-10-12,23.94,1
100521,714221,2024-08-24,57.48,3
100522,737573,2025-09-26,23.94,1
100523,701845,2024-01-26,35.99,1
100524,703570,2024-02-19,23.94,1
100525,714721,2024-09-04,47.94,1
100526,714126,2024-08-21,34.74,1
100527,739056,2025-10-13,41.94,1
100528,727768,2025-05-24,67.08,2
100529,716017,2024-10-04,95.88,2
100530,723888,2025-03-21,15.54,1
100531,708062,2024-04-20,35.94,1
100532,712562,2024-07-16,43.14,2
100533,736961,2025-09-19,35.94,1
100534,722994,2025-03-08,23.94,1
100535,702815,2024-02-09,29.94,1
100536,727755,2025-05-24,35.94,1
100537,729286,2025-06-15,35.94,1
100538,735919,2025-09-06,35.94,1
100539,742720,2025-11-20,23.94,1
100540,714147,2024-08-22,34.74,1
100541,728693,2025-06-06,50.28,2
100542,707222,2024-04-07,34.74,1
100543,750401,2026-02-05,113.82,3
100544,703400,2024-02-17,69.48,2
100544,707154,2024-04-06,104.22,3
100545,714239,2024-08-24,47.94,1
100546,749101,2026-01-23,35.94,1
100547,705587,2024-03-18,69.48,2
100548,724700,2025-04-04,28.8,1
100549,704428,2024-03-01,35.99,1
100550,723125,2025-03-09,34.74,1
100551,757309,2026-04-18,41.94,1
100552,757672,2026-04-22,35.94,1
100553,759945,2026-05-12,51.48,2
100554,703253,2024-02-15,41.94,1
100555,724173,2025-03-26,104.22,3
100555,725132,2025-04-11,239.7,5
100556,727626,2025-05-22,35.94,1
100557,732840,2025-08-01,64.68,2
100558,732770,2025-07-31,35.94,1
100558,735962,2025-09-07,35.94,1
100558,738015,2025-10-01,71.88,2
100559,743013,2025-11-23,28.8,1
100560,727491,2025-05-19,35.94,1
100560,727822,2025-05-25,47.94,1
100561,733337,2025-08-07,61.08,2
100562,701556,2024-01-22,28.8,1
100563,706220,2024-03-26,43.14,2
100563,711297,2024-06-21,47.94,1
100563,719265,2024-12-23,62.28,2
100564,729652,2025-06-19,55.08,2
100565,739664,2025-10-20,47.94,1
100566,735463,2025-08-31,35.94,1
100567,726184,2025-04-29,67.08,2
100568,747467,2026-01-03,47.94,1
100569,743404,2025-11-28,35.99,1
100570,703852,2024-02-22,28.8,1
100571,703615,2024-02-19,23.94,1
100572,712699,2024-07-19,34.74,1
100573,737873,2025-09-29,23.94,1
100574,708389,2024-04-25,59.94,1
100575,738234,2025-10-04,71.88,2
100575,749452,2026-01-26,118.8,1
100576,730232,2025-06-27,41.88,2
100577,736204,2025-09-10,15.54,1
100578,720575,2025-01-22,83.88,2
100578,725845,2025-04-23,47.94,1
100578,736542,2025-09-14,110.22,3
100578,749473,2026-01-26,155.88,2
100579,747271,2026-01-02,37.14,1
100580,743267,2025-11-26,37.14,1
100581,710537,2024-06-02,71.88,2
100582,712337,2024-07-11,43.14,2
100583,733039,2025-08-03,67.02,3
100584,707587,2024-04-13,95.88,2
100585,721901,2025-02-15,34.74,1
100585,722806,2025-03-04,109.02,3
100585,736407,2025-09-12,129.36,4
100586,709373,2024-05-12,34.74,1
100586,710587,2024-06-03,118.8,1
